site,siteLabel,gpsCoordinates,longitude,latitude,AVG_TDN_12,AVG_TDN_123,delta,pct
591,AUCHAN DRIVE CHAPONOST (SAINT-GENIS-LAVAL),POINT(4.765844 45.699254),4.7658439999999995,45.699254,0.0388,0.0388,0,0
893,AUCHAN DRIVE MACON,POINT(4.840207 46.329017),4.840207,46.329017,0.0377,0.0361,0.0016,4.43
895,AUCHAN DRIVE VALENCIENNES,POINT(3.517674 50.344604),3.5176740000000004,50.344604,0.009,0.0138,-0.0048,-34.78
542,AUCHAN DRIVE TREMBLAY-EN-FRANCE (ROISSY),POINT(2.521959 48.991549),2.521959,48.991548999999992,0.0308,0.0236,0.0072,30.51
884,AUCHAN DRIVE MONTAUBAN,POINT(1.366917 44.031274),1.366917,44.03127400000001,0.0317,0.0328,-0.0011,-3.35
547,AUCHAN DRIVE TRAPPES,POINT(1.979716 48.76855),1.9797159999999998,48.76855,0.0016,0.0027,-0.0011,-40.74
538,AUCHAN DRIVE LA SEYNE-SUR-MER,POINT(5.858041 43.113996),5.8580410000000009,43.113996000000007,0.0183,0.0258,-0.0075,-29.07
989,AUCHAN DRIVE CALAIS (SALENGRO),POINT(1.811501 50.943931),1.8115009999999996,50.943931,0.0366,0.0361,0.0005,1.39
823,AUCHAN DRIVE LEZENNES (VILLENEUVE D'ASCQ),POINT(3.12024 50.615661),3.1202400000000003,50.61566100000001,0.0218,0.0216,0.0002,0.93
877,AUCHAN DRIVE NOGENT-SUR-OISE,POINT(2.486253 49.277175),2.486253,49.277175,0.0288,0.0246,0.0042,17.07
225,AUCHAN DRIVE SARROLA-CARCOPINO (AJACCIO),POINT(8.79908 41.95352),8.79908,41.95352,0.0326,0.0276,0.005,18.12
871,AUCHAN DRIVE SAINT-CYR-SUR-LOIRE (TOURS),POINT(0.659034 47.427341),0.659034,47.427341,0.0253,0.0315,-0.0062,-19.68
536,AUCHAN DRIVE BRIVES-CHARENSAC (LE PUY),POINT(3.917304 45.050075),3.917304,45.050075,0.0395,0.0377,0.0018,4.77
933,AUCHAN DRIVE MONT-SAINT-MARTIN,POINT(5.800836 49.543911),5.8008360000000012,49.543911,0.0499,0.0481,0.0018,3.74
447,AUCHAN DRIVE FOURNES-EN-WEPPES,POINT(2.901705 50.583602),2.9017049999999998,50.583602,0.0063,0.0117,-0.0054,-46.15
544,AUCHAN DRIVE TOURS,POINT(0.69938 47.425194),0.69938000000000011,47.425194000000005,0.0192,0.0166,0.0026,15.66
891,AUCHAN DRIVE BIZANOS (PAU),POINT(-0.326141 43.309525),-0.326141,43.309524999999994,0.0638,0.0564,0.0074,13.12
919,AUCHAN DRIVE RONCQ,POINT(3.138224 50.740197),3.1382240000000006,50.740197,0.0473,0.0399,0.0074,18.55
935,AUCHAN DRIVE VÉLIZY-VILLACOUBLAY,POINT(2.219326 48.778897),2.2193260000000006,48.778897000000008,0.0228,0.0205,0.0023,11.22
890,AUCHAN DRIVE CHAMBRAY-LÈS-TOURS,POINT(0.704476 47.336385),0.704476,47.336384999999993,0.0229,0.0206,0.0023,11.17
864,AUCHAN DRIVE AVIGNON,POINT(4.861718 43.922671),4.861718,43.922671000000008,0.0382,0.0319,0.0063,19.75
894,AUCHAN DRIVE DIEPPE,POINT(1.081055 49.911121),1.081055,49.911121,0.046,0.0469,-0.0009,-1.92
949,AUCHAN DRIVE BASSE-GOULAINE(S-SEBASTIEN-SUR-LOIRE),POINT(-1.46249 47.18654),-1.4624899999999998,47.18654,0.0217,0.0186,0.0031,16.67
978,AUCHAN DRIVE STRASBOURG,POINT(7.69518 48.59164),7.69518,48.59164,0.0069,0.0105,-0.0036,-34.29
987,AUCHAN DRIVE MARSEILLE,POINT(5.42145 43.27931),5.42145,43.279310000000009,0.0199,0.0155,0.0044,28.39
862,AUCHAN DRIVE CHASSENEUIL-DU-POITOU,POINT(0.372015 46.667012),0.37201500000000004,46.667012000000007,0.0531,0.0559,-0.0028,-5.01
879,AUCHAN DRIVE TAVERNY,POINT(2.222518 49.01312),2.222518,49.01312,0.038,0.0328,0.0052,15.85
872,AUCHAN DRIVE GUILHERAND-GRANGES (VALENCE),POINT(4.860821 44.923914),4.860821,44.923914,0.0672,0.0732,-0.006,-8.2
970,AUCHAN DRIVE BÉTHUNE,POINT(2.632367 50.522976),2.6323670000000003,50.522976,0.0456,0.0436,0.002,4.59
954,AUCHAN DRIVE TOULOUSE,POINT(1.482594 43.633777),1.482594,43.633777,0.0208,0.0148,0.006,40.54
543,AUCHAN DRIVE SÈTE,POINT(3.717064 43.414072),3.717064,43.414072,0.0446,0.0418,0.0028,6.7
918,AUCHAN DRIVE PLAISIR,POINT(1.96293 48.82785),1.9629300000000003,48.82785,0.0438,0.041,0.0028,6.83
592,AUCHAN DRIVE VAUX-LE-PENIL,POINT(2.683084 48.541113),2.6830839999999996,48.541112999999996,0.0018,0.0025,-0.0007,-28
957,AUCHAN DRIVE PETITE-FORÊT,POINT(3.478473 50.377593),3.478473,50.377593000000005,0.0216,0.0143,0.0073,51.05
540,AUCHAN DRIVE TARBES,POINT(0.045454 43.238196),0.045454000000000008,43.238196,0.0008,0.0007,0.0001,14.29
937,AUCHAN DRIVE BLENDECQUES (SAINT-OMER),POINT(2.26926 50.732905),2.2692600000000005,50.732905,0.0539,0.0509,0.003,5.89
938,AUCHAN DRIVE BORDEAUX (LAC),POINT(-0.559875 44.878132),-0.559875,44.878132000000008,0.0232,0.0173,0.0059,34.1
584,AUCHAN DRIVE CERGY,POINT(2.078847 49.037905),2.078847,49.037905,0.0157,0.013,0.0027,20.77
545,AUCHAN DRIVE ILLKIRCH-GRAFFENSTADEN,POINT(7.740315 48.542762),7.7403150000000007,48.542762,0.0125,0.0098,0.0027,27.55
870,AUCHAN DRIVE AUBIÈRE,POINT(3.130658 45.752229),3.1306580000000004,45.752229000000007,0.0187,0.0216,-0.0029,-13.43
981,AUCHAN DRIVE MONTGERON,POINT(2.438312 48.713125),2.4383120000000003,48.713125,0.0314,0.0295,0.0019,6.44
958,AUCHAN DRIVE BOULIAC,POINT(-0.523333 44.814168),-0.523333,44.814168000000009,0.0596,0.0577,0.0019,3.29
972,AUCHAN DRIVE NOYELLES-GODAULT,POINT(2.979222 50.407414),2.979222,50.407414,0.0287,0.0167,0.012,71.86
863,AUCHAN DRIVE LA COURONNE (ANGOULEME),POINT(0.101908 45.616627),0.10190800000000001,45.616627,0.0612,0.0484,0.0128,26.45
956,AUCHAN DRIVE SEMÉCOURT,POINT(6.144186 49.195441),6.1441860000000013,49.195441,0.0574,0.0406,0.0168,41.38
929,AUCHAN DRIVE SAINT-PRIEST,POINT(4.925262 45.723489),4.925262,45.723489,0.0368,0.0232,0.0136,58.62
883,AUCHAN DRIVE BEAUVAIS,POINT(2.117059 49.409481),2.117059,49.409481,0.0465,0.0353,0.0112,31.73
948,AUCHAN DRIVE SAINT-SATURNIN (LE MANS),POINT(0.172252 48.047993),0.17225199999999996,48.047993,0.0583,0.0391,0.0192,49.1
874,AUCHAN DRIVE AUBAGNE,POINT(5.594549 43.295911),5.5945489999999989,43.29591099999999,0.126,0.0959,0.0301,31.39
930,AUCHAN DRIVE BRÉTIGNY-SUR-ORGE,POINT(2.304971 48.584341),2.3049710000000005,48.584341,0.0464,0.0579,-0.0115,-19.86
526,AUCHAN DRIVE AVRILLE,POINT(-0.61478 47.51454),-0.61478,47.51454,0.0847,0.0762,0.0085,11.15
977,AUCHAN DRIVE VILLEBON-SUR-YVETTE,POINT(2.255903 48.705877),2.2559029999999995,48.705877,0.0535,0.045,0.0085,18.89
960,AUCHAN DRIVE LOUVROIL,POINT(3.938189 50.253217),3.9381889999999995,50.253217,0.0593,0.0463,0.013,28.08
885,AUCHAN DRIVE CHANCELADE (PERIGUEUX),POINT(0.656091 45.193315),0.656091,45.193315,0.0741,0.0531,0.021,39.55
869,AUCHAN DRIVE LA TRINITÉ (NICE),POINT(7.321903 43.742872),7.3219030000000007,43.742872,0.1086,0.0988,0.0098,9.92
880,AUCHAN DRIVE BÉZIERS,POINT(3.248466 43.347307),3.2484660000000005,43.347307,0.0508,0.041,0.0098,23.9
889,AUCHAN DRIVE TOMBLAINE,POINT(6.220988 48.686494),6.2209879999999993,48.686494,0.0514,0.0368,0.0146,39.67
982,AUCHAN DRIVE MARTIGUES,POINT(5.054708 43.423592),5.054708,43.423592,0.0889,0.0775,0.0114,14.71
936,AUCHAN DRIVE SAINT-MARTIN-BOULOGNE,POINT(1.678762 50.734199),1.6787620000000003,50.734199000000004,0.107,0.0623,0.0447,71.75
873,AUCHAN DRIVE BIGANOS,POINT(-0.960643 44.63338),-0.96064300000000014,44.63338,0.1093,0.095,0.0143,15.05
979,AUCHAN DRIVE LE HAVRE,POINT(0.107515 49.525295),0.10751500000000001,49.525295,0.0563,0.034,0.0223,65.59
896,AUCHAN DRIVE CHATEAUBERNARD,POINT(-0.307635 45.682835),-0.307635,45.682835,0.0764,0.0541,0.0223,41.22
966,AUCHAN DRIVE MONTIVILLIERS,POINT(0.189071 49.531333),0.18907099999999996,49.531333,0.0328,0.0449,-0.0121,-26.95
882,AUCHAN DRIVE DUISANS (ARRAS),POINT(2.727159 50.303805),2.727159,50.303805,0.057,0.0419,0.0151,36.04
876,AUCHAN DRIVE VINEUIL (BLOIS),POINT(1.370767 47.570971),1.370767,47.570971,0.0856,0.0705,0.0151,21.42
980,AUCHAN DRIVE DURY (AMIENS),POINT(2.27829 49.864619),2.27829,49.864619,0.0493,0.0406,0.0087,21.43
985,AUCHAN DRIVE FAYET (SAINT-QUENTIN),POINT(3.255642 49.856668),3.2556420000000004,49.856668,0.048,0.0393,0.0087,22.14
898,AUCHAN DRIVE SIN-LE-NOBLE,POINT(3.098294 50.340483),3.0982940000000005,50.340483,0.0512,0.0377,0.0135,35.81
953,AUCHAN DRIVE PERPIGNAN,POINT(2.882856 42.668297),2.882856,42.66829700000001,0.0449,0.0333,0.0116,34.83
867,AUCHAN DRIVE DARDILLY,POINT(4.769196 45.818665),4.7691959999999991,45.818664999999996,0.0976,0.074,0.0236,31.89
861,AUCHAN DRIVE GRANDE-SYNTHE,POINT(2.286397 51.004004),2.2863970000000005,51.004004000000009,0.0689,0.0413,0.0276,66.83
537,AUCHAN DRIVE GRASSE,POINT(6.951697 43.635974),6.9516970000000011,43.635974,0.0488,0.0404,0.0084,20.79
875,AUCHAN DRIVE LAXOU,POINT(6.126206 48.690251),6.126206,48.690250999999996,0.066,0.0536,0.0124,23.13
931,AUCHAN DRIVE BUCHELAY,POINT(1.690687 48.981203),1.690687,48.981203,0.0624,0.0516,0.0108,20.93
932,AUCHAN DRIVE CESSON,POINT(2.607331 48.583067),2.6073310000000003,48.583067,0.0752,0.0615,0.0137,22.28
534,AUCHAN DRIVE BESSONCOURT (BELFORT),POINT(6.916274 47.642613),6.9162739999999987,47.642613,0.0863,0.0686,0.0177,25.8
886,AUCHAN DRIVE CAMBRAI,POINT(3.25316 50.18406),3.25316,50.184060000000009,0.0782,0.0525,0.0257,48.95
924,AUCHAN DRIVE ENGLOS,POINT(2.969686 50.634255),2.9696859999999994,50.634255,0.0558,0.0325,0.0233,71.69
598,AUCHAN DRIVE CHAUCONIN-NEUFMONTIERS (MEAUX),POINT(2.860811 48.960377),2.8608110000000004,48.960377,0.0424,0.0263,0.0161,61.22
881,AUCHAN DRIVE PÉROLS,POINT(3.939234 43.572163),3.939233999999999,43.572163,0.1215,0.0974,0.0241,24.74
993,AUCHAN DRIVE TRIGNAC (SAINT-NAZAIRE),POINT(-2.213167 47.302286),-2.213167,47.302286,0.0588,0.0307,0.0281,91.53
868,AUCHAN DRIVE COIGNIÈRES,POINT(1.930782 48.757738),1.9307820000000002,48.757738,0.0558,0.0469,0.0089,18.98
888,AUCHAN DRIVE LE POINÇONNET (CHATEAUROUX),POINT(1.736492 46.793212),1.736492,46.793212000000004,0.0785,0.0656,0.0129,19.66
532,AUCHAN DRIVE LA GLACERIE (CHERBOURG),POINT(-1.599475 49.604375),-1.599475,49.604375,0.0677,0.0428,0.0249,58.18
878,AUCHAN DRIVE OSNY,POINT(2.079895 49.077855),2.0798949999999996,49.077855000000007,0.0431,0.0313,0.0118,37.7
524,AUCHAN DRIVE NOYON,POINT(2.976923 49.57003),2.9769229999999998,49.57003,0.0453,0.0367,0.0086,23.43
925,AUCHAN DRIVE ÉPAGNY (ANNECY),POINT(6.070761 45.938526),6.070761,45.938526,0.1334,0.1088,0.0246,22.61
361,AUCHAN DRIVE FACHES-THUMESNIL,POINT(3.079437 50.580878),3.079437,50.580878,0.0683,0.0589,0.0094,15.96
959,AUCHAN DRIVE SERRIS (VAL D'EUROPE),POINT(2.78272 48.83792),2.7827199999999994,48.83792,0.0453,0.0319,0.0134,42.01
939,AUCHAN DRIVE CROUTELLE (POITIERS),POINT(0.296788 46.548011),0.29678800000000005,46.548011,0.1036,0.0662,0.0374,56.5
531,AUCHAN DRIVE CASTRES,POINT(2.18853 43.588787),2.18853,43.588787,0.0515,0.0336,0.0179,53.27
866,AUCHAN DRIVE VILLARS (SAINT-ETIENNE),POINT(4.341974 45.476673),4.3419739999999987,45.476673,0.0608,0.0381,0.0227,59.58
527,AUCHAN DRIVE CALUIRE-ET-CUIRE,POINT(4.858245 45.805819),4.858245,45.805819,0.0592,0.0469,0.0123,26.23
887,AUCHAN DRIVE SAINT-HERBLAIN,POINT(-1.607966 47.247051),-1.607966,47.247051,0.0482,0.0359,0.0123,34.26
952,AUCHAN DRIVE LE PONTET,POINT(4.878617 43.982509),4.8786170000000011,43.982509,0.0576,0.0373,0.0203,54.42
912,AUCHAN DRIVE LEERS,POINT(3.225329 50.680956),3.2253289999999994,50.680956,0.0674,0.0431,0.0243,56.38
533,AUCHAN DRIVE SAINT-JEAN-DE-LA-RUELLE (ORLEANS),POINT(1.859931 47.902626),1.859931,47.902626,0.043,0.0259,0.0171,66.02
897,AUCHAN DRIVE SCHWEIGHOUSE-SUR-MODER,POINT(7.743117 48.83204),7.7431170000000016,48.83204,0.0538,0.0327,0.0211,64.53